Entity,Code,Year,Deaths attributed to household air pollution,Deaths attributed to ambient air pollution,Population,World region according to OWID
North Korea,PRK,2019,163,86,26037633,Asia
North Macedonia,MKD,2019,41,62,1897643,Europe
Northern Africa and Western Asia (UN SDG),,2019,15,73,,
Northern America (UN),UN_NAM,2019,0,14,375699069,
Norway,NOR,2019,0,8,5347733,Europe
Oceania (UN SDG),,2019,164,39,,
Oceania (UN),UN_OCE,2019,36,18,43504185,
Oman,OMN,2019,0,104,4591248,Asia
Pakistan,PAK,2019,117,105,230800908,Asia
Panama,PAN,2019,12,17,4234698,North America
Papua New Guinea,PNG,2019,166,38,9609014,Oceania
Paraguay,PRY,2019,36,25,6515059,South America
Peru,PER,2019,16,26,32449302,South America
Philippines,PHL,2019,138,92,110804685,Asia
Poland,POL,2019,0,41,38225884,Europe
Portugal,PRT,2019,0,10,10343218,Europe
Qatar,QAT,2019,0,91,2797927,Asia
Romania,ROU,2019,26,46,19501542,Europe
Russia,RUS,2019,31,39,146533063,Europe
Rwanda,RWA,2019,133,62,12776102,Africa
Saint Lucia,LCA,2019,9,20,177675,North America
Saint Vincent and the Grenadines,VCT,2019,11,25,104183,North America
Samoa,WSM,2019,122,34,209794,Oceania
Sao Tome and Principe,STP,2019,180,85,213405,Africa
Saudi Arabia,SAU,2019,0,91,30472809,Asia
Senegal,SEN,2019,108,65,16352926,Africa
Serbia,SRB,2019,32,45,6966155,Europe
Seychelles,SYC,2019,0,43,117662,Africa
Sierra Leone,SLE,2019,188,97,7731994,Africa
Singapore,SGP,2019,0,23,5669562,Asia
Slovakia,SVK,2019,0,30,5450627,Europe
Slovenia,SVN,2019,0,19,2083438,Europe
Small Island Developing States (SIDS),,2019,45,34,,
Solomon Islands,SLB,2019,245,57,728156,Oceania
Somalia,SOM,2019,202,64,16030969,Africa
South Africa,ZAF,2019,34,47,59587880,Africa
South Korea,KOR,2019,0,19,51767844,Asia
South Sudan,SSD,2019,113,41,10423382,Africa
Spain,ESP,2019,0,10,47435121,Europe
Sri Lanka,LKA,2019,68,37,22410552,Asia
Sub-Saharan Africa (UN SDG),,2019,130,65,,
Sudan,SDN,2019,93,70,45548179,Africa
Suriname,SUR,2019,14,39,605779,South America
Sweden,SWE,2019,0,8,10279120,Europe
Switzerland,CHE,2019,0,10,8577525,Europe
Syria,SYR,2019,15,83,20353536,Asia
Tajikistan,TJK,2019,61,159,9529970,Asia
Tanzania,TZA,2019,109,36,59174889,Africa
Thailand,THA,2019,21,29,71522264,Asia
Togo,TGO,2019,173,91,7619916,Africa
Tonga,TON,2019,31,24,105688,Oceania
Trinidad and Tobago,TTO,2019,0,20,1484898,North America
Tunisia,TUN,2019,1,55,11875084,Africa
Turkey,TUR,2019,7,39,85357670,Asia
Turkmenistan,TKM,2019,2,87,6803943,Asia
Uganda,UGA,2019,131,60,42999636,Africa
Ukraine,UKR,2019,15,66,44957451,Europe
United Arab Emirates,ARE,2019,0,70,9377855,Asia
United Kingdom,GBR,2019,0,13,67110958,Europe
United States,USA,2019,0,14,337790069,North America
Uruguay,URY,2019,0,16,3397206,South America
Uzbekistan,UZB,2019,46,117,32964700,Asia
Vanuatu,VUT,2019,224,57,291995,Oceania
Venezuela,VEN,2019,7,32,28938096,South America
Vietnam,VNM,2019,61,52,97173778,Asia
World,OWID_WRL,2019,52,59,7811293699,
Yemen,YEM,2019,101,109,35111416,Asia
Zambia,ZMB,2019,145,50,18513839,Africa
Zimbabwe,ZWE,2019,155,56,15271377,Africa
